ts	phase	decision	why	evidence	result
2026-08-27T09:26:37Z	verify	real-CLI flag audit: every argv flag the owned layer emits exists on the installed amp CLI	the suite proves behavior only against a fake CLI written here, so flag spellings needed a check against the real binary; confirmed --mode, -x/--execute, --stream-json, --stream-json-thinking, --stream-json-input, -ox/--orb-execute, --project, --settings-file, --mcp-config, --fast, -l/--label, --no-archive-after-execute; --dangerously-allow-all is absent on this amp build (the control is now the amp.dangerouslyAllowAll setting) and the drop-and-retry table already handles that rejection exactly as the SDK era did; a live end-to-end turn was deliberately not run overnight because it costs real Amp usage on this account	amp --help on this host	flag table faithful; live-turn smoke left as the one open verification
2026-08-27T09:26:37Z	run	cross-model review (opus subagent) returned 3 blockers 2 notes; all resolved	fixed and amended into utw: README status sample still showed the CLI shim line, common-ci.yaml kept a dead shim-diff guard, .gitignore kept the sdk rationale and two dead un-ignore entries; recorded: dropping the root zod override reverses 15427f5, safe because only @ampcode/sdk declared zod 3 and the parity test loads the rebuilt dist/host.js so a zod-3 inline would fail it; changeset deliberately skipped per the standing instruction to add none unless asked	review verdict + but amend result	trail and tree reconciled
2026-08-27T09:26:37Z	close	done predicate met	zero @ampcode/sdk imports in plugins/amp (grep finds only the provenance comment in execute.ts), stub override + root devDependency + sdk patch deleted, suite 118 pass 0 fail twice on a rebuilt dist, tsc --noEmit clean, commits zru wtt utw green and stacked on fable/amp-own-spawn above codex/migrate-bun-mocks above fable/amp-native-bridge	but status, bun test, tsc	migration complete; trail committed as its own chore commit
2026-08-27T20:02:59Z	verify	origin/main e2e ruled out: the plugin declares SDK >=0.4.21 and the origin/main dev build runs bb 0.39.0 with SDK 0.4.14, so amp loads as incompatible there; the live e2e ran on the dev worktree's desktop-v0.40.0 pin instead	the user asked for origin/main; the floor is the migration's own declared requirement, so working around it would test a lie	bb-dev plugin list on the origin/main build	labeled deviation; e2e evidence is 0.40-only
2026-08-27T20:02:59Z	verify	live-turn root cause: buildAmpArgv never emitted --stream-json-input, so real amp read the held-open framed stdin as raw prompt text and hit its 30s stdin timeout; stderr said Network timeout, which misled the first attempts	isolation ladder: manual wire ok, bb fail, local harness reproduced exactly, shim capture showed the missing flag	wire test A (flags, closed stdin, 4.4s ok) and B (frame on held-open stdin, 41s ok) against the real CLI	fixed: runAmp derives the flag from the prompt type, so argv can never disagree with how pumpInput feeds stdin
2026-08-27T20:02:59Z	verify	the fake-CLI suite masked the bug: the fake reads NDJSON regardless of argv, so every stdin-framing test passed against a CLI that never enforced the flag	a fake that accepts more than the real thing proves less than it seems	suite green pre-fix while the real CLI failed every framed turn	two tests and two assertions added: flag emitted for framed input, optionForFlag pinned null for it, steering path asserts it on argv
2026-08-27T20:02:59Z	verify	post-fix evidence chain: suite 119 pass 0 fail twice around bun run build, tsc clean, local harness vs real amp returned AMP-BRIDGE-LOCAL-OK with turn.boundary completed, then a bb-driven turn on the dev instance echoed AMP-BB-E2E-OK	the harness proves the bridge outside bb; the bb turn proves the artifact inside it	cli.log pids 73240+, thread log thr_sufcvadyc8, dev.log artifact download 8d1f856e	e2e green on the 0.40 dev instance
2026-08-27T20:02:59Z	observe	bb dev lifecycle finding: plugin reload neither restarts the bridge worker nor refetches the artifact, and the worker survives SIGTERM; only SIGKILL forced a respawn that downloaded the rebuilt digest	two failed bb attempts ran the stale pre-fix artifact with no amp spawn at all	dev.log reload 12:51:53 vs download 12:58:28; pgrep showed the same pid and start time after kill	recorded for bb upstream; not an amp plugin bug
2026-08-27T20:02:59Z	observe	row-12 contradiction resolved in favor of the live wire: this amp build accepted --dangerously-allow-all on real turns despite amp --help omitting it	help text absence was weaker evidence than a flag the binary accepts	successful live turns carrying the flag	flag kept; the drop-retry table still covers a future removal
2026-08-27T20:02:59Z	observe	two tangents left open: bun run dev:setup exits 1 with no output, and a fresh install has an empty model catalog (host-scoped models, no fallback) so a spawn without --model can 503	found while driving e2e; both are outside the own-spawn scope	local runs on this host	reported, unfixed
2026-08-27T20:12:59Z	run	cross-model review (opus subagent) on the fix: no blockers, five notes; notes 1-2 fixed here (undroppability now asserted as optionForFlag null, row 17 corrected to two tests plus two assertions), notes 3-5 recorded	the reviewer read the validator out of the installed amp binary: streamJson is normalized from streamJsonThinking before validation, so the thinking+input pair is legal; --dangerously-allow-all is hidden:true in the CLI option table, which is why --help omits it	review verdict; amp binary dump; bun run test rerun below	left open by choice: no fail-fast guard for orb+framed (unreachable today), threads-continue parses the flag but is not live-proven
2026-08-27T20:40:00Z	verify	origin/main retest: origin/main now equals upstream/main at dd94c8f14 carrying plugin-sdk 0.4.24, clearing the plugin's >=0.4.21 floor; the dev worktree moved from the desktop-v0.40.0 pin onto origin/main and the plugin loads with no incompatible marker	the user updated origin/main from upstream and asked to retest from there, superseding row 15's 0.40-only deviation	git rev-parse origin/main upstream/main; git show origin/main:packages/plugin-sdk/package.json; dev.log plugin amp@0.4.1 loaded	row 15 deviation closed; e2e evidence now covers true origin/main
2026-08-27T20:40:00Z	verify	resume-path turn green on origin/main: thread tell on thr_sufcvadyc8 echoed AMP-BB-MAIN-OK exactly; this live-proves the threads-continue framed-stdin path that review note 4 (row 22) left unproven	an existing thread exercises amp threads continue with --stream-json-input, the one wire the fix touches that no prior live turn had covered	thread log thr_sufcvadyc8; cli.log real amp spawn pid 31039; dev.log cached artifact 8d1f856e	review note 4 closed by live evidence
2026-08-27T20:40:00Z	verify	fresh-thread turn green on origin/main: spawn without --model failed HTTP 503 'The acp-amp model catalog is empty, so no default model can be resolved' (exact reproduction of row 21); the bridge returns models [] by design since Amp owns model choice through its mode, so an explicit --model amp bypasses default resolution and the bridge ignores the id; the turn echoed AMP-BB-MAIN-FRESH-OK exactly	a fresh thread proves the full create path end to end, not just resume on a thread with a remembered model	503 message matched against apps/server thread-create.ts (not captured in any log); entry.ts models handler; thread log thr_rky6r39iav; cli.log pid 81022 titling the thread AMP-BB-MAIN-FRESH-OK; dev.log cached artifact 8d1f856e at 13:37:17	both e2e paths green on origin/main; row 21 confirmed with the exact error
2026-08-27T20:40:00Z	observe	dev-app restart recipe: argv-pattern sweeps miss processes launched with relative paths (supervisor 54964, app server 54932 holding port 24493), so kills that look complete leave a respawning tree; the reliable sequence is walk ancestry to the topmost supervisor, kill the tree children-first, then find port holders via lsof and prove cwd membership before killing; the exact screen launcher command is recoverable from the session snapshot	three failed restart attempts (respawns every 2s, then EADDRINUSE on 24493) preceded the recipe	lsof cwd proof for 54932 under the dev worktree; clean relaunch as screen session 19393	recorded as bb dev tooling knowledge; not an amp plugin bug
2026-08-27T20:55:00Z	run	cross-model review (opus subagent) of the retest rows: no blockers, five notes; two evidence fixes applied here: row 25's 503 string is a reconstruction from bb's thread-create.ts with no durable capture, and the artifact serving both turns was the 12:58 pre-restart cache, code-identical to the rebuilt dist once esbuild path comments are stripped	claims audited against primary sources by a second model before the closing report	reviewer read cli.log argv (pid 31039 carries no positional prompt, upgrading row 24's framed-stdin proof from inference to direct; it omits --dangerously-allow-all while fresh-turn pid 81022 carries it, so row 20 coverage rests on the fresh turn), thread-create.ts 503 throw and requestedModel bypass, artifact-vs-dist hash comparison	recorded: row 26 pids left no surviving record and the launcher's own stop path also works; an external launcher restart at 13:43:56 postdates the evidence window
2026-08-27T21:05:00Z	verify	live bb load: switching amp to a path source on production bb 0.40.0 failed at load because bb runs a path plugin's server.ts from source and its runtime shim resolves @get-bb/plugin-sdk subpaths against plugin-sdk-runtime.js; server.ts reached the provider-bridge subpath only through shapes.ts, for one constant; fixed by moving the kind constants to a leaf module shapes.ts re-exports	dev worktrees never showed this because their workspace SDK package resolves subpath exports; production only maps the bare specifier	install error require stack naming src/bridge/shapes.ts; tsc clean; 119 pass 0 fail; rebuilt dist; plugin running from path source	commit uux on fable/amp-own-spawn
2026-08-27T21:05:00Z	run	live registration was then blocked by the legacy customAcpAgents amp entry, which registers acp-amp first and which the plugin's cleanup preserves because of its env.RAINDROP_LOCAL_DEBUGGER customization; the user chose to delete the entry and drop the variable; reload registered the provider and a fresh live thread echoed AMP-BB-LIVE-OK exactly	the entry shadowed the native registration and bb is retiring customAcpAgents; the classifier blocked my config edit so the deletion ran on the user's explicit choice, with both config files backed up to thread storage first	bb amp status: registered, legacy entry absent; bb provider list shows acp-amp; thread log thr_hqwq3vczmp; config.json.bak-1787864321; live spawn also needed --model amp, a third corroboration of row 21's empty catalog	migrated plugin live on production bb; nothing pushed
2026-08-27T21:18:00Z	fix	the user reported the bb UI shows no model selector for amp (screenshot: picker says No models available), so amp modes cannot be switched; root cause is entry.ts returning an empty model/list plus a declaration with no fallback, the same emptiness behind rows 21/25/29's 503s; decision: publish one catalog model id amp whose supportedReasoningEfforts are the four amp modes, served from a new leaf src/bridge/model-catalog.ts by BOTH the declaration's models.fallback and the live model/list handler	the live model/list answer replaces the fallback wholesale (SDK PluginProviderFallbackModel docs), so both servings must read one constant; one model plus the existing reasoningLevel-to---mode mapping in options.ts needs zero new execution plumbing, keeps id amp consistent with earlier --model amp spawns, and matches the native API's design where the ladder is the mode (the old ACP plugin faked four models only because ACP had no ladder); the leaf stays off SDK subpaths per row 28's rule	screenshot CleanShot-2026-08-27-at-14.04.25; entry.ts:337 empty result; bb plugin-provider-registration.ts projectFallbackModels; SDK 0.4.21 bundled-types models.fallback schema; live bb server bundle greps fallbackModels so 0.40.0 supports it	model-catalog.ts + declaration/entry edits + declaration.test pins + model/list wire test + README claim updated; tsc clean; bun run test 121 pass 0 fail (an earlier 1-fail run used bare bun test whose 5s default timeout killed the 10s parity replay)
2026-08-27T21:20:00Z	run	reloaded the path-installed plugin on live bb and verified both regressions dead: a spawn WITHOUT --model created and ran (503 gone, default model resolved from the catalog), and --reasoning-level ultra reached amp as --mode ultra while the default spawn ran --mode medium	the probe memo keys on the registration revision, so the reload made the next UI model-list fresh; the selector itself renders from this catalog and only the user can see it, so the UI check is theirs	bb amp status registered; thread thr_wtjc9bmy7w echoed AMP-MODEL-DEFAULT-OK; thread thr_hj2kd23xma echoed AMP-MODE-ULTRA-OK; cli.log pids 7087 (--mode ultra) and 7481 (--mode medium) at 21:15:55/21:16:00Z	model selector data restored live; nothing pushed
2026-08-27T22:25:00Z	design	moved the Orb trigger to a composer toggle after finding the native migration (3607ed7) silently dropped /orb parsing: stripOrbDirectives had zero production callers and entry.ts hardcoded executionTarget local; scope became (1) restore routing in the bridge as the root fix and (2) add a new-thread composer action that inserts or strips a /orb draft token via useComposer updateText, so the button, a typed token, and CLI prompts share one trigger grammar	three channels compared analytically: per-thread provider options fail (deriveProviderOptions is sync, plugin-global, and has no threadId on a new thread), a new bb-native composerAction kind cannot reach installed bb 0.40, the draft-token channel works on the public SDK against live bb (PluginComposerActions.tsx shipped in desktop-v0.33.0, contained in 0.40.0); toggle stays new-thread scoped because the flip is first-prompt-only and the thread-scope banner covers live threads	git tag --contains e82d5e5 lists desktop-v0.33.0; SDK bundled-types updateText(updater) and focus(); old router, guards, and verbatim error strings recovered from 3607ed7^ bridge-core.ts	design settled; known limit recorded: the composer-action slot has no selected-provider signal so the toggle renders for every provider in the new-thread composer
2026-08-27T22:25:00Z	fix	ported routeAmpPrompt to src/bridge/prompt-routing.ts with two wire adaptations (parts join with blank lines like promptText; native block union means image blocks carry no text and agent-only text is directive-ineligible) and wired startTurn: refusals surface as scribe.fail with settlesTurn true because entry.ts swallows startTurn rejections, the flip writes through the store and announces thread-link immediately for the starting banner, and executionAttempted is set only after the guards so a directive-only refusal leaves the thread flippable on retry	error strings and guard order kept verbatim from the ACP bridge so existing docs and user expectations still hold; steering keeps promptText and never routes	old tests normalized whitespace in the assertion (replace \s+ then trim), which resolved the strip-semantics question; stripOrbDirectives removes only token characters	132 pass 0 fail (11 new: 7 routing ports plus 4 session-level via fake writer, store, and deps), tsc clean, bb plugin reload amp running; live Orb smoke skipped on purpose (burns real Amp usage) so the composer button render is the user check
2026-08-27T22:11:00Z	fix	gated the Orb toggle to render only while Amp is the selected provider, closing the recorded every-provider limit: a useAmpComposerGate hook matches the picker trigger's data-provider-logo mask span inside the surrounding [data-app-composer] against Amp's own logoUrl from experimental_useProviders, a MutationObserver re-checks on provider switches, and an always-mounted display:contents span keeps the DOM anchor while the button unmounts	SDK 0.4.21 and upstream dev bb both lack a selected-provider signal in ComposerView (app-contract.ts:1506 identical), so a host+SDK addition ships nothing on the installed 0.40 app today; the logo marker is the one id-bearing signal because the server builds logoUrl as /api/v1/system/providers/acp-amp/logo, and the value is compared against the live directory instead of a hardcoded shape; hidden while the directory loads, fails open when markers are missing so a host markup rename degrades to the old ungated behavior; the picker popover portals to body so browsing other providers cannot flip the gate	route literal confirmed in installed 0.40 server dist; data-provider-logo, data-app-composer, and data-model-loading-placeholder confirmed in the installed 0.40 renderer assets; 132 pass 0 fail, tsc clean, bb plugin reload amp ok	gate live on reload; visual check of the toggle appearing only for Amp stays with the user; nothing pushed
2026-08-27T23:05:00Z	fix	keep DOM gate unchanged	user report "does not show up" did not reproduce; gate verified live	instrumented orbGateDebug RPC + agent-browser session against bb 0.40 at 127.0.0.1:38886: picker span data-provider-logo=/api/v1/system/providers/acp-amp/logo appears with Amp selected, .amp-orb-toggle count 1; hidden on claude-code	toggle works on fresh mount; no code change
2026-08-27T23:45:00Z	fix	add trigger-title fallback to the provider gate	user screenshot showed Amp selected with no toggle while the earlier live check passed; the difference was Fast mode, which replaces the picker trigger logo span with a Zap glyph, so the logo-only gate saw no data-provider-logo and hid the button	agent-browser against bb 0.40 at 127.0.0.1:38886: with Fast on the composer has zero data-provider-logo nodes and the trigger keeps title="Amp: Amp · Medium reasoning (Fast mode)"; post-fix matrix Amp+fast toggle=1, Amp fast-off toggle=1, claude+fast toggle=0 slot=1; tsc clean, 132 pass	gate now matches the logo span OR a trigger title starting "<displayName>:", ignores titled nodes inside the toggle slot to avoid self-latching, and the observer also watches title mutations
2026-08-27T23:16:00Z	research	answered whether Amp supports switching a session between orb and local mid-thread: no; the executor is a creation-time option	Amp docs via parallel-web-search: CreateAgentThreadOptions executor local|orb chosen at thread creation and defaulting to local, CLI amp -x / amp -ox, web composer New Orb, amp sync mirrors an Orb thread locally while it keeps running remotely, Handoff transfers context into a NEW thread; absence claim stays labeled because no page says cannot-switch outright; payloads at /tmp/amp-orb-thread-switching.json /tmp/amp-orb-local-continue.json /tmp/amp-executor-fixed.json	validates the bridge rule that Local or Orb is fixed for the life of the thread	the Orb intent is consumed exactly at thread creation, mirroring Amp's own executor semantics
2026-08-27T23:16:00Z	fix	removed the typed /orb token path (orb-directive.ts, prompt-routing.ts, richText highlight, session refusal guards, shimmer CSS) and replaced it with an out-of-band intent slot: toggle press calls setOrbIntent RPC, the server writes orb-intent.json under the plugin's bridge-data dir via bb.server.experimental_dataDir, and thread/start consumes it for fresh records with a store write-through; 10-minute TTL; hiding the gate disarms; getOrbIntent restores pressed state on remount	user ruled the token out (clicking the button shouldn't type /orb); the app, server, and bridge share only the filesystem, so a one-shot file slot is the smallest channel; rejected providerOptions (registration-static), composerActions (slash-insert kinds only), NewThreadComposer (plugin-owned composer, not the host's), experimental_onSignal (host-to-server only); a wasVisible ref fixes the mount race where the initially hidden gate would disarm a freshly fetched armed state	127 pass 0 fail across 18 files (5 orb-intent unit tests, 1 bridge-level consume test driving real thread/start with no CLI spawn, 3 rewritten session routing tests), tsc clean, bb plugin reload amp ok; agent-browser end to end on bb 0.40: toggle click set aria-pressed=true with an empty draft and orb-intent.json {armedAt} appeared on disk, second click removed it	live Orb smoke skipped on purpose (burns real Amp usage); README reworded to the tokenless toggle
